ENSG00000000419	DPM1	H. sapiens	S000006148	ALG5	S. cerevisiae	least diverged horizontal gene transfer
ENSG00000089195	TRMT6	H. sapiens	S000005006	GCD10	S. cerevisiae	homologue
ENSG00000089195	TRMT6	H. sapiens	S000005006	GCD10	S. cerevisiae	least diverged orthologue
ENSG00000089195	TRMT6	H. sapiens	S000005006	GCD10	S. cerevisiae	orthologue
ENSG00000090054	SPTLC1	H. sapiens	S000004911	LCB1	S. cerevisiae	homologue
ENSG00000090054	SPTLC1	H. sapiens	S000004911	LCB1	S. cerevisiae	least diverged orthologue
ENSG00000090054	SPTLC1	H. sapiens	S000004911	LCB1	S. cerevisiae	orthologue
ENSG00000090054	SPTLC1	H. sapiens	S000004911	LCB1	S. cerevisiae	orthologue
ENSG00000090520	DNAJB11	H. sapiens	S000005008	YDJ1	S. cerevisiae	homologue
ENSG00000090661	CERS4	H. sapiens	S000000995	LAG1	S. cerevisiae	orthologue
ENSG00000090661	CERS4	H. sapiens	S000000995	LAG1	S. cerevisiae	orthologue
ENSG00000090661	CERS4	H. sapiens	S000001491	LAC1	S. cerevisiae	orthologue
ENSG00000090661	CERS4	H. sapiens	S000001491	LAC1	S. cerevisiae	orthologue
ENSG00000090861	AARS	H. sapiens	S000004985	""	S. cerevisiae	horizontal gene transfer
ENSG00000090861	AARS	H. sapiens	S000005862	ALA1	S. cerevisiae	homologue
ENSG00000090861	AARS	H. sapiens	S000005862	ALA1	S. cerevisiae	least diverged orthologue
ENSG00000090861	AARS	H. sapiens	S000005862	ALA1	S. cerevisiae	orthologue
ENSG00000090861	AARS	H. sapiens	S000005862	ALA1	S. cerevisiae	orthologue
ENSG00000091140	DLD	H. sapiens	S000001148	TRR2	S. cerevisiae	horizontal gene transfer
ENSG00000091140	DLD	H. sapiens	S000001876	LPD1	S. cerevisiae	homologue
ENSG00000091140	DLD	H. sapiens	S000001876	LPD1	S. cerevisiae	least diverged orthologue
ENSG00000091140	DLD	H. sapiens	S000001876	LPD1	S. cerevisiae	orthologue
ENSG00000091140	DLD	H. sapiens	S000001876	LPD1	S. cerevisiae	orthologue
ENSG00000091140	DLD	H. sapiens	S000002761	TRR1	S. cerevisiae	horizontal gene transfer
ENSG00000091140	DLD	H. sapiens	S000005938	IRC15	S. cerevisiae	orthologue
ENSG00000091140	DLD	H. sapiens	S000006012	GLR1	S. cerevisiae	horizontal gene transfer
ENSG00000092094	OSGEP	H. sapiens	S000001746	KAE1	S. cerevisiae	homologue
ENSG00000092094	OSGEP	H. sapiens	S000001746	KAE1	S. cerevisiae	least diverged orthologue
ENSG00000092094	OSGEP	H. sapiens	S000001746	KAE1	S. cerevisiae	orthologue
ENSG00000092094	OSGEP	H. sapiens	S000001746	KAE1	S. cerevisiae	orthologue
ENSG00000095059	DHPS	H. sapiens	S000001110	DYS1	S. cerevisiae	homologue
ENSG00000095059	DHPS	H. sapiens	S000001110	DYS1	S. cerevisiae	least diverged orthologue
ENSG00000095059	DHPS	H. sapiens	S000001110	DYS1	S. cerevisiae	orthologue
ENSG00000095059	DHPS	H. sapiens	S000001110	DYS1	S. cerevisiae	orthologue
ENSG00000096063	SRPK1	H. sapiens	S000004829	SKY1	S. cerevisiae	homologue
ENSG00000096063	SRPK1	H. sapiens	S000004829	SKY1	S. cerevisiae	least diverged orthologue
ENSG00000096063	SRPK1	H. sapiens	S000004829	SKY1	S. cerevisiae	orthologue
ENSG00000096384	HSP90AB1	H. sapiens	S000004798	HSC82	S. cerevisiae	least diverged orthologue
ENSG00000096384	HSP90AB1	H. sapiens	S000004798	HSC82	S. cerevisiae	orthologue
ENSG00000096384	HSP90AB1	H. sapiens	S000004798	HSC82	S. cerevisiae	orthologue
ENSG00000096384	HSP90AB1	H. sapiens	S000006161	HSP82	S. cerevisiae	homologue
ENSG00000096384	HSP90AB1	H. sapiens	S000006161	HSP82	S. cerevisiae	least diverged orthologue
ENSG00000096384	HSP90AB1	H. sapiens	S000006161	HSP82	S. cerevisiae	orthologue
ENSG00000096384	HSP90AB1	H. sapiens	S000006161	HSP82	S. cerevisiae	orthologue
ENSG00000096717	SIRT1	H. sapiens	S000002200	SIR2	S. cerevisiae	homologue
ENSG00000096717	SIRT1	H. sapiens	S000002200	SIR2	S. cerevisiae	least diverged orthologue
ENSG00000096717	SIRT1	H. sapiens	S000005429	HST1	S. cerevisiae	homologue
ENSG00000096717	SIRT1	H. sapiens	S000005429	HST1	S. cerevisiae	least diverged orthologue
ENSG00000097046	CDC7	H. sapiens	S000002175	CDC7	S. cerevisiae	homologue
ENSG00000097046	CDC7	H. sapiens	S000002175	CDC7	S. cerevisiae	least diverged orthologue
ENSG00000097046	CDC7	H. sapiens	S000002175	CDC7	S. cerevisiae	orthologue
ENSG00000099797	TECR	H. sapiens	S000002173	TSC13	S. cerevisiae	homologue
ENSG00000099797	TECR	H. sapiens	S000002173	TSC13	S. cerevisiae	orthologue
ENSG00000099797	TECR	H. sapiens	S000002173	TSC13	S. cerevisiae	orthologue
ENSG00000099797	TECR	H. sapiens	S000002173	TSC13	S. cerevisiae	orthologue
ENSG00000099800	TIMM13	H. sapiens	S000003413	TIM13	S. cerevisiae	homologue
ENSG00000099800	TIMM13	H. sapiens	S000003413	TIM13	S. cerevisiae	least diverged orthologue
ENSG00000099800	TIMM13	H. sapiens	S000003413	TIM13	S. cerevisiae	orthologue
ENSG00000099804	CDC34	H. sapiens	S000004297	UBC12	S. cerevisiae	horizontal gene transfer
ENSG00000099804	CDC34	H. sapiens	S000004624	UBC7	S. cerevisiae	homologue
ENSG00000099817	POLR2E	H. sapiens	S000000358	RPB5	S. cerevisiae	homologue
ENSG00000099817	POLR2E	H. sapiens	S000000358	RPB5	S. cerevisiae	least diverged orthologue
ENSG00000099817	POLR2E	H. sapiens	S000000358	RPB5	S. cerevisiae	orthologue
ENSG00000099817	POLR2E	H. sapiens	S000000358	RPB5	S. cerevisiae	orthologue
ENSG00000099904	ZDHHC8	H. sapiens	S000004236	ERF2	S. cerevisiae	homologue
ENSG00000100138	SNU13	H. sapiens	S000000752	SNU13	S. cerevisiae	homologue
ENSG00000100138	SNU13	H. sapiens	S000000752	SNU13	S. cerevisiae	least diverged orthologue
ENSG00000100138	SNU13	H. sapiens	S000000752	SNU13	S. cerevisiae	orthologue
ENSG00000100138	SNU13	H. sapiens	S000000752	SNU13	S. cerevisiae	orthologue
ENSG00000100142	POLR2F	H. sapiens	S000006391	RPO26	S. cerevisiae	homologue
ENSG00000100142	POLR2F	H. sapiens	S000006391	RPO26	S. cerevisiae	least diverged orthologue
ENSG00000100142	POLR2F	H. sapiens	S000006391	RPO26	S. cerevisiae	orthologue
ENSG00000100150	DEPDC5	H. sapiens	S000003899	IML1	S. cerevisiae	homologue
ENSG00000100150	DEPDC5	H. sapiens	S000003899	IML1	S. cerevisiae	least diverged orthologue
ENSG00000100150	DEPDC5	H. sapiens	S000003899	IML1	S. cerevisiae	orthologue
ENSG00000100209	HSCB	H. sapiens	S000002986	JAC1	S. cerevisiae	homologue
ENSG00000100209	HSCB	H. sapiens	S000002986	JAC1	S. cerevisiae	least diverged orthologue
ENSG00000100209	HSCB	H. sapiens	S000002986	JAC1	S. cerevisiae	orthologue
ENSG00000100401	RANGAP1	H. sapiens	S000004848	RNA1	S. cerevisiae	homologue
ENSG00000100401	RANGAP1	H. sapiens	S000004848	RNA1	S. cerevisiae	least diverged orthologue
ENSG00000100401	RANGAP1	H. sapiens	S000004848	RNA1	S. cerevisiae	orthologue
ENSG00000100412	ACO2	H. sapiens	S000002977	LEU1	S. cerevisiae	horizontal gene transfer
ENSG00000100412	ACO2	H. sapiens	S000003736	ACO2	S. cerevisiae	homologue
ENSG00000100412	ACO2	H. sapiens	S000004295	ACO1	S. cerevisiae	least diverged orthologue
ENSG00000100412	ACO2	H. sapiens	S000004295	ACO1	S. cerevisiae	orthologue
ENSG00000100412	ACO2	H. sapiens	S000004295	ACO1	S. cerevisiae	orthologue
ENSG00000100416	TRMU	H. sapiens	S000002191	SLM3	S. cerevisiae	homologue
ENSG00000100416	TRMU	H. sapiens	S000002191	SLM3	S. cerevisiae	least diverged orthologue
ENSG00000100416	TRMU	H. sapiens	S000002191	SLM3	S. cerevisiae	orthologue
ENSG00000100416	TRMU	H. sapiens	S000002191	SLM3	S. cerevisiae	orthologue
ENSG00000100462	PRMT5	H. sapiens	S000000337	HSL7	S. cerevisiae	homologue
ENSG00000100462	PRMT5	H. sapiens	S000000337	HSL7	S. cerevisiae	least diverged orthologue
ENSG00000100462	PRMT5	H. sapiens	S000000337	HSL7	S. cerevisiae	orthologue
ENSG00000100519	PSMC6	H. sapiens	S000005785	RPT4	S. cerevisiae	homologue
ENSG00000100519	PSMC6	H. sapiens	S000005785	RPT4	S. cerevisiae	least diverged orthologue
ENSG00000100519	PSMC6	H. sapiens	S000005785	RPT4	S. cerevisiae	orthologue
ENSG00000100519	PSMC6	H. sapiens	S000005785	RPT4	S. cerevisiae	orthologue
ENSG00000100522	GNPNAT1	H. sapiens	S000001877	GNA1	S. cerevisiae	homologue
ENSG00000100522	GNPNAT1	H. sapiens	S000001877	GNA1	S. cerevisiae	least diverged orthologue
ENSG00000100522	GNPNAT1	H. sapiens	S000001877	GNA1	S. cerevisiae	orthologue
ENSG00000100522	GNPNAT1	H. sapiens	S000001877	GNA1	S. cerevisiae	orthologue
ENSG00000100567	PSMA3	H. sapiens	S000005889	PRE10	S. cerevisiae	homologue
ENSG00000100567	PSMA3	H. sapiens	S000005889	PRE10	S. cerevisiae	least diverged orthologue
ENSG00000100567	PSMA3	H. sapiens	S000005889	PRE10	S. cerevisiae	orthologue
ENSG00000100567	PSMA3	H. sapiens	S000005889	PRE10	S. cerevisiae	orthologue
ENSG00000100603	SNW1	H. sapiens	S000000030	PRP45	S. cerevisiae	homologue
ENSG00000100603	SNW1	H. sapiens	S000000030	PRP45	S. cerevisiae	least diverged orthologue
ENSG00000100664	EIF5	H. sapiens	S000006245	TIF5	S. cerevisiae	homologue
ENSG00000100664	EIF5	H. sapiens	S000006245	TIF5	S. cerevisiae	least diverged orthologue
ENSG00000100664	EIF5	H. sapiens	S000006245	TIF5	S. cerevisiae	orthologue
ENSG00000100664	EIF5	H. sapiens	S000006245	TIF5	S. cerevisiae	orthologue
ENSG00000100764	PSMC1	H. sapiens	S000002165	RPT2	S. cerevisiae	homologue
ENSG00000100764	PSMC1	H. sapiens	S000002165	RPT2	S. cerevisiae	least diverged orthologue
ENSG00000100764	PSMC1	H. sapiens	S000002165	RPT2	S. cerevisiae	orthologue
ENSG00000100902	PSMA6	H. sapiens	S000002979	SCL1	S. cerevisiae	homologue
ENSG00000100902	PSMA6	H. sapiens	S000002979	SCL1	S. cerevisiae	least diverged orthologue
ENSG00000100902	PSMA6	H. sapiens	S000002979	SCL1	S. cerevisiae	orthologue
ENSG00000100902	PSMA6	H. sapiens	S000002979	SCL1	S. cerevisiae	orthologue
ENSG00000100983	GSS	H. sapiens	S000005409	GSH2	S. cerevisiae	homologue
ENSG00000100983	GSS	H. sapiens	S000005409	GSH2	S. cerevisiae	least diverged orthologue
ENSG00000100983	GSS	H. sapiens	S000005409	GSH2	S. cerevisiae	orthologue
ENSG00000100983	GSS	H. sapiens	S000005409	GSH2	S. cerevisiae	orthologue
ENSG00000101049	SGK2	H. sapiens	S000000687	KIN82	S. cerevisiae	orthologue
ENSG00000101049	SGK2	H. sapiens	S000001248	SCH9	S. cerevisiae	homologue
ENSG00000101049	SGK2	H. sapiens	S000001248	SCH9	S. cerevisiae	orthologue
ENSG00000101049	SGK2	H. sapiens	S000001609	YPK1	S. cerevisiae	homologue
ENSG00000101049	SGK2	H. sapiens	S000001609	YPK1	S. cerevisiae	orthologue
ENSG00000101049	SGK2	H. sapiens	S000001609	YPK1	S. cerevisiae	orthologue
ENSG00000101049	SGK2	H. sapiens	S000004710	YPK2	S. cerevisiae	homologue
ENSG00000101049	SGK2	H. sapiens	S000004710	YPK2	S. cerevisiae	orthologue
ENSG00000101049	SGK2	H. sapiens	S000004710	YPK2	S. cerevisiae	orthologue
ENSG00000101049	SGK2	H. sapiens	S000005330	FPK1	S. cerevisiae	orthologue
ENSG00000101290	CDS2	H. sapiens	S000000233	CDS1	S. cerevisiae	homologue
ENSG00000101290	CDS2	H. sapiens	S000000233	CDS1	S. cerevisiae	least diverged orthologue
ENSG00000101290	CDS2	H. sapiens	S000000233	CDS1	S. cerevisiae	orthologue
ENSG00000101407	TTI1	H. sapiens	S000001516	TTI1	S. cerevisiae	least diverged orthologue
ENSG00000101558	VAPA	H. sapiens	S000000922	SCS2	S. cerevisiae	homologue
ENSG00000101558	VAPA	H. sapiens	S000000922	SCS2	S. cerevisiae	orthologue
ENSG00000101558	VAPA	H. sapiens	S000000922	SCS2	S. cerevisiae	orthologue
ENSG00000101558	VAPA	H. sapiens	S000007228	SCS22	S. cerevisiae	homologue
ENSG00000101558	VAPA	H. sapiens	S000007228	SCS22	S. cerevisiae	orthologue
ENSG00000101558	VAPA	H. sapiens	S000007228	SCS22	S. cerevisiae	orthologue
ENSG00000101577	LPIN2	H. sapiens	S000001012	OPI1	S. cerevisiae	orthologue
ENSG00000101577	LPIN2	H. sapiens	S000004775	PAH1	S. cerevisiae	homologue
ENSG00000101577	LPIN2	H. sapiens	S000004775	PAH1	S. cerevisiae	orthologue
ENSG00000101577	LPIN2	H. sapiens	S000004775	PAH1	S. cerevisiae	orthologue
ENSG00000101901	ALG13	H. sapiens	S000003015	ALG13	S. cerevisiae	least diverged orthologue
ENSG00000101986	ABCD1	H. sapiens	S000001671	PXA2	S. cerevisiae	orthologue
ENSG00000101986	ABCD1	H. sapiens	S000001671	PXA2	S. cerevisiae	orthologue
ENSG00000101986	ABCD1	H. sapiens	S000006068	PXA1	S. cerevisiae	homologue
ENSG00000101986	ABCD1	H. sapiens	S000006068	PXA1	S. cerevisiae	orthologue
ENSG00000101986	ABCD1	H. sapiens	S000006068	PXA1	S. cerevisiae	orthologue
ENSG00000102024	PLS3	H. sapiens	S000002536	SAC6	S. cerevisiae	homologue
ENSG00000102024	PLS3	H. sapiens	S000002536	SAC6	S. cerevisiae	orthologue
ENSG00000102125	TAZ	H. sapiens	S000006344	TAZ1	S. cerevisiae	least diverged orthologue
ENSG00000102125	TAZ	H. sapiens	S000006344	TAZ1	S. cerevisiae	orthologue
ENSG00000102125	TAZ	H. sapiens	S000006344	TAZ1	S. cerevisiae	orthologue
ENSG00000102158	MAGT1	H. sapiens	S000004481	OST6	S. cerevisiae	orthologue
ENSG00000102158	MAGT1	H. sapiens	S000004481	OST6	S. cerevisiae	orthologue
ENSG00000102158	MAGT1	H. sapiens	S000005611	OST3	S. cerevisiae	homologue
ENSG00000102158	MAGT1	H. sapiens	S000005611	OST3	S. cerevisiae	orthologue
ENSG00000102158	MAGT1	H. sapiens	S000005611	OST3	S. cerevisiae	orthologue
ENSG00000102383	ZDHHC15	H. sapiens	S000005270	PFA3	S. cerevisiae	homologue
ENSG00000102383	ZDHHC15	H. sapiens	S000005270	PFA3	S. cerevisiae	orthologue
ENSG00000102383	ZDHHC15	H. sapiens	S000005363	PFA4	S. cerevisiae	orthologue
ENSG00000102547	CAB39L	H. sapiens	S000001672	HYM1	S. cerevisiae	homologue
ENSG00000102547	CAB39L	H. sapiens	S000001672	HYM1	S. cerevisiae	least diverged orthologue
ENSG00000102547	CAB39L	H. sapiens	S000001672	HYM1	S. cerevisiae	orthologue
ENSG00000102580	DNAJC3	H. sapiens	S000004952	SIS1	S. cerevisiae	homologue
ENSG00000102967	DHODH	H. sapiens	S000001699	URA1	S. cerevisiae	homologue
ENSG00000102967	DHODH	H. sapiens	S000001699	URA1	S. cerevisiae	horizontal gene transfer
ENSG00000103035	PSMD7	H. sapiens	S000005787	RPN8	S. cerevisiae	homologue
ENSG00000103035	PSMD7	H. sapiens	S000005787	RPN8	S. cerevisiae	least diverged orthologue
ENSG00000103035	PSMD7	H. sapiens	S000005787	RPN8	S. cerevisiae	orthologue
ENSG00000103035	PSMD7	H. sapiens	S000005787	RPN8	S. cerevisiae	orthologue
ENSG00000103222	ABCC1	H. sapiens	S000001027	VMR1	S. cerevisiae	orthologue
ENSG00000103222	ABCC1	H. sapiens	S000001692	STE6	S. cerevisiae	orthologue
ENSG00000103222	ABCC1	H. sapiens	S000002542	YCF1	S. cerevisiae	homologue
ENSG00000103222	ABCC1	H. sapiens	S000002542	YCF1	S. cerevisiae	orthologue
ENSG00000103222	ABCC1	H. sapiens	S000002542	YCF1	S. cerevisiae	orthologue
ENSG00000103222	ABCC1	H. sapiens	S000003513	YOR1	S. cerevisiae	orthologue
ENSG00000103222	ABCC1	H. sapiens	S000003938	BPT1	S. cerevisiae	orthologue
ENSG00000103222	ABCC1	H. sapiens	S000003938	BPT1	S. cerevisiae	orthologue
ENSG00000103222	ABCC1	H. sapiens	S000003971	YBT1	S. cerevisiae	orthologue
ENSG00000103275	UBE2I	H. sapiens	S000002222	UBC9	S. cerevisiae	homologue
ENSG00000103275	UBE2I	H. sapiens	S000002222	UBC9	S. cerevisiae	least diverged orthologue
ENSG00000103275	UBE2I	H. sapiens	S000002222	UBC9	S. cerevisiae	orthologue
ENSG00000103275	UBE2I	H. sapiens	S000002222	UBC9	S. cerevisiae	orthologue
ENSG00000103275	UBE2I	H. sapiens	S000004297	UBC12	S. cerevisiae	horizontal gene transfer
ENSG00000103502	CDIPT	H. sapiens	S000006317	PIS1	S. cerevisiae	homologue
ENSG00000103502	CDIPT	H. sapiens	S000006317	PIS1	S. cerevisiae	least diverged orthologue
ENSG00000103502	CDIPT	H. sapiens	S000006317	PIS1	S. cerevisiae	orthologue
ENSG00000103502	CDIPT	H. sapiens	S000006317	PIS1	S. cerevisiae	orthologue
ENSG00000104131	EIF3J	H. sapiens	S000004182	HCR1	S. cerevisiae	least diverged orthologue
ENSG00000104131	EIF3J	H. sapiens	S000004182	HCR1	S. cerevisiae	orthologue
ENSG00000104549	SQLE	H. sapiens	S000003407	ERG1	S. cerevisiae	homologue
ENSG00000104549	SQLE	H. sapiens	S000003407	ERG1	S. cerevisiae	least diverged orthologue
ENSG00000104549	SQLE	H. sapiens	S000003407	ERG1	S. cerevisiae	orthologue
ENSG00000104549	SQLE	H. sapiens	S000003407	ERG1	S. cerevisiae	orthologue
ENSG00000104723	TUSC3	H. sapiens	S000004481	OST6	S. cerevisiae	orthologue
ENSG00000104723	TUSC3	H. sapiens	S000004481	OST6	S. cerevisiae	orthologue
ENSG00000104723	TUSC3	H. sapiens	S000005611	OST3	S. cerevisiae	homologue
ENSG00000104723	TUSC3	H. sapiens	S000005611	OST3	S. cerevisiae	least diverged orthologue
ENSG00000104723	TUSC3	H. sapiens	S000005611	OST3	S. cerevisiae	orthologue
ENSG00000104723	TUSC3	H. sapiens	S000005611	OST3	S. cerevisiae	orthologue
ENSG00000104852	SNRNP70	H. sapiens	S000001323	SNP1	S. cerevisiae	homologue
ENSG00000104852	SNRNP70	H. sapiens	S000001323	SNP1	S. cerevisiae	least diverged orthologue
ENSG00000104884	ERCC2	H. sapiens	S000000973	RAD3	S. cerevisiae	homologue
ENSG00000104884	ERCC2	H. sapiens	S000000973	RAD3	S. cerevisiae	least diverged orthologue
ENSG00000104884	ERCC2	H. sapiens	S000000973	RAD3	S. cerevisiae	orthologue
ENSG00000104884	ERCC2	H. sapiens	S000000973	RAD3	S. cerevisiae	orthologue
ENSG00000105011	ASF1B	H. sapiens	S000003651	ASF1	S. cerevisiae	homologue
ENSG00000105011	ASF1B	H. sapiens	S000003651	ASF1	S. cerevisiae	orthologue
ENSG00000105011	ASF1B	H. sapiens	S000003651	ASF1	S. cerevisiae	orthologue
ENSG00000105171	POP4	H. sapiens	S000000461	POP4	S. cerevisiae	homologue
ENSG00000105171	POP4	H. sapiens	S000000461	POP4	S. cerevisiae	least diverged orthologue
ENSG00000105171	POP4	H. sapiens	S000000461	POP4	S. cerevisiae	orthologue
ENSG00000105173	CCNE1	H. sapiens	S000000038	CLN3	S. cerevisiae	orthologue
ENSG00000105173	CCNE1	H. sapiens	S000002314	CLB3	S. cerevisiae	homologue
ENSG00000105173	CCNE1	H. sapiens	S000002314	CLB3	S. cerevisiae	orthologue
ENSG00000105173	CCNE1	H. sapiens	S000003340	CLB1	S. cerevisiae	homologue
ENSG00000105173	CCNE1	H. sapiens	S000003340	CLB1	S. cerevisiae	orthologue
ENSG00000105173	CCNE1	H. sapiens	S000003341	CLB6	S. cerevisiae	homologue
ENSG00000105173	CCNE1	H. sapiens	S000003341	CLB6	S. cerevisiae	orthologue
ENSG00000105173	CCNE1	H. sapiens	S000004200	CLB4	S. cerevisiae	homologue
ENSG00000105173	CCNE1	H. sapiens	S000004200	CLB4	S. cerevisiae	orthologue
ENSG00000105173	CCNE1	H. sapiens	S000004812	CLN1	S. cerevisiae	orthologue
ENSG00000105173	CCNE1	H. sapiens	S000006177	CLN2	S. cerevisiae	orthologue
ENSG00000105173	CCNE1	H. sapiens	S000006323	CLB2	S. cerevisiae	homologue
ENSG00000105173	CCNE1	H. sapiens	S000006323	CLB2	S. cerevisiae	orthologue
ENSG00000105173	CCNE1	H. sapiens	S000006324	CLB5	S. cerevisiae	homologue
ENSG00000105173	CCNE1	H. sapiens	S000006324	CLB5	S. cerevisiae	orthologue
ENSG00000105202	FBL	H. sapiens	S000002172	NOP1	S. cerevisiae	homologue
ENSG00000105202	FBL	H. sapiens	S000002172	NOP1	S. cerevisiae	least diverged orthologue
ENSG00000105202	FBL	H. sapiens	S000002172	NOP1	S. cerevisiae	orthologue
ENSG00000105202	FBL	H. sapiens	S000002172	NOP1	S. cerevisiae	orthologue
ENSG00000105258	POLR2I	H. sapiens	S000003038	RPB9	S. cerevisiae	homologue
ENSG00000105258	POLR2I	H. sapiens	S000003038	RPB9	S. cerevisiae	least diverged orthologue
ENSG00000105258	POLR2I	H. sapiens	S000003038	RPB9	S. cerevisiae	orthologue
ENSG00000105258	POLR2I	H. sapiens	S000003038	RPB9	S. cerevisiae	orthologue
ENSG00000105486	LIG1	H. sapiens	S000002323	CDC9	S. cerevisiae	homologue
ENSG00000105486	LIG1	H. sapiens	S000002323	CDC9	S. cerevisiae	least diverged orthologue
ENSG00000105486	LIG1	H. sapiens	S000002323	CDC9	S. cerevisiae	orthologue
ENSG00000105486	LIG1	H. sapiens	S000002323	CDC9	S. cerevisiae	orthologue
ENSG00000105821	DNAJC2	H. sapiens	S000003517	ZUO1	S. cerevisiae	homologue
ENSG00000105821	DNAJC2	H. sapiens	S000003517	ZUO1	S. cerevisiae	least diverged orthologue
ENSG00000105821	DNAJC2	H. sapiens	S000003517	ZUO1	S. cerevisiae	orthologue
ENSG00000105821	DNAJC2	H. sapiens	S000003517	ZUO1	S. cerevisiae	orthologue
ENSG00000105929	ATP6V0A4	H. sapiens	S000004658	STV1	S. cerevisiae	homologue
ENSG00000105929	ATP6V0A4	H. sapiens	S000005796	VPH1	S. cerevisiae	homologue
ENSG00000106105	GARS	H. sapiens	S000000325	GRS1	S. cerevisiae	homologue
ENSG00000106105	GARS	H. sapiens	S000000325	GRS1	S. cerevisiae	least diverged orthologue
ENSG00000106105	GARS	H. sapiens	S000000325	GRS1	S. cerevisiae	orthologue
ENSG00000106105	GARS	H. sapiens	S000000325	GRS1	S. cerevisiae	orthologue
ENSG00000106105	GARS	H. sapiens	S000006285	GRS2	S. cerevisiae	orthologue
ENSG00000106105	GARS	H. sapiens	S000006285	GRS2	S. cerevisiae	orthologue
ENSG00000106344	RBM28	H. sapiens	S000005964	NOP4	S. cerevisiae	homologue
ENSG00000106344	RBM28	H. sapiens	S000005964	NOP4	S. cerevisiae	orthologue
ENSG00000106355	LSM5	H. sapiens	S000000948	LSM5	S. cerevisiae	homologue
ENSG00000106355	LSM5	H. sapiens	S000000948	LSM5	S. cerevisiae	least diverged orthologue
ENSG00000106355	LSM5	H. sapiens	S000000948	LSM5	S. cerevisiae	orthologue
ENSG00000106628	POLD2	H. sapiens	S000003766	POL31	S. cerevisiae	homologue
ENSG00000106628	POLD2	H. sapiens	S000003766	POL31	S. cerevisiae	least diverged orthologue
ENSG00000106628	POLD2	H. sapiens	S000003766	POL31	S. cerevisiae	orthologue
ENSG00000106633	GCK	H. sapiens	S000000545	GLK1	S. cerevisiae	homologue
ENSG00000106633	GCK	H. sapiens	S000000545	GLK1	S. cerevisiae	orthologue
ENSG00000106633	GCK	H. sapiens	S000000545	GLK1	S. cerevisiae	orthologue
ENSG00000106633	GCK	H. sapiens	S000001949	HXK1	S. cerevisiae	homologue
ENSG00000106633	GCK	H. sapiens	S000001949	HXK1	S. cerevisiae	orthologue
ENSG00000106633	GCK	H. sapiens	S000001949	HXK1	S. cerevisiae	orthologue
ENSG00000106633	GCK	H. sapiens	S000002924	EMI2	S. cerevisiae	homologue
ENSG00000106633	GCK	H. sapiens	S000002924	EMI2	S. cerevisiae	orthologue
ENSG00000106633	GCK	H. sapiens	S000002924	EMI2	S. cerevisiae	orthologue
ENSG00000106633	GCK	H. sapiens	S000003222	HXK2	S. cerevisiae	homologue
ENSG00000106633	GCK	H. sapiens	S000003222	HXK2	S. cerevisiae	orthologue
ENSG00000106633	GCK	H. sapiens	S000003222	HXK2	S. cerevisiae	orthologue
ENSG00000106633	GCK	H. sapiens	S000004438	""	S. cerevisiae	orthologue
ENSG00000106636	YKT6	H. sapiens	S000001679	YKT6	S. cerevisiae	homologue
ENSG00000106636	YKT6	H. sapiens	S000001679	YKT6	S. cerevisiae	least diverged orthologue
ENSG00000106636	YKT6	H. sapiens	S000001679	YKT6	S. cerevisiae	orthologue
ENSG00000106636	YKT6	H. sapiens	S000001679	YKT6	S. cerevisiae	orthologue
ENSG00000106992	AK1	H. sapiens	S000001507	URA6	S. cerevisiae	homologue
ENSG00000107130	NCS1	H. sapiens	S000002781	FRQ1	S. cerevisiae	homologue
ENSG00000107130	NCS1	H. sapiens	S000002781	FRQ1	S. cerevisiae	least diverged orthologue
ENSG00000107130	NCS1	H. sapiens	S000002781	FRQ1	S. cerevisiae	orthologue
ENSG00000107130	NCS1	H. sapiens	S000002781	FRQ1	S. cerevisiae	orthologue
ENSG00000107242	PIP5K1B	H. sapiens	S000002616	MSS4	S. cerevisiae	homologue
ENSG00000107242	PIP5K1B	H. sapiens	S000002616	MSS4	S. cerevisiae	orthologue
ENSG00000107242	PIP5K1B	H. sapiens	S000002616	MSS4	S. cerevisiae	orthologue
ENSG00000107341	UBE2R2	H. sapiens	S000002461	CDC34	S. cerevisiae	orthologue
ENSG00000107341	UBE2R2	H. sapiens	S000004297	UBC12	S. cerevisiae	horizontal gene transfer
ENSG00000107341	UBE2R2	H. sapiens	S000004624	UBC7	S. cerevisiae	homologue
ENSG00000108064	TFAM	H. sapiens	S000001515	IXR1	S. cerevisiae	orthologue
ENSG00000108064	TFAM	H. sapiens	S000002157	NHP6B	S. cerevisiae	orthologue
ENSG00000108064	TFAM	H. sapiens	S000002581	HMO1	S. cerevisiae	orthologue
ENSG00000108064	TFAM	H. sapiens	S000006256	NHP6A	S. cerevisiae	orthologue
ENSG00000108344	PSMD3	H. sapiens	S000000823	RPN3	S. cerevisiae	homologue
ENSG00000108344	PSMD3	H. sapiens	S000000823	RPN3	S. cerevisiae	least diverged orthologue
ENSG00000108344	PSMD3	H. sapiens	S000000823	RPN3	S. cerevisiae	orthologue
ENSG00000108344	PSMD3	H. sapiens	S000000823	RPN3	S. cerevisiae	orthologue
ENSG00000108474	PIGL	H. sapiens	S000004894	GPI12	S. cerevisiae	homologue
ENSG00000108474	PIGL	H. sapiens	S000004894	GPI12	S. cerevisiae	least diverged orthologue
ENSG00000108474	PIGL	H. sapiens	S000004894	GPI12	S. cerevisiae	orthologue
